#,Category,Question,Files & media,A,B,C,D,Answer
1,Math,The following equation defines what kind of shape? \( (x-3)^2 + \frac{y^2}{16} = 1 \),,Circle,Ellipse,Hyperbola,Parabola,B
2,Ethics,"Which of the following is NOT an Obligation of Licensees to the Public according to 2024-25 Model Rules, Section 240.15?",,"Licensees shall be cognizant that their first and foremost responsibility is to safeguard the health, safety, and
welfare of the public when performing services for clients and employers.","Licensees shall express a professional opinion publicly only when it is founded upon an adequate knowledge of the
facts and a competent evaluation of the subject matter.","Licensees shall not knowingly provide false or incomplete information regarding an applicant in obtaining
licensure.","Licensees shall issue no statements, criticisms, or arguments on engineering and surveying matters that are inspired or paid for by interested parties especially when they explicitly identify the interested parties on whose behalf they are speaking and reveal any interest they have in the matters.",D
3,Econ,"An engineer borrows $20,000 from the bank to purchase a piece of machinery. They must pay the lender $500 for each year the loan is in existence, what is the simple interest rate?",,8%,4%,3.60%,2.50%,D
4,Statics,"If three nonparallel forces hold a rigid body in equilibrium, then",,They are equal,They are concurrent,They form a triangle,They are colinear,B
5,Dynamics,A train is traveling at \( 29 \text{ m/s} \) along a railroad. The engineer suddenly applies the brakes and the train begins to decelerate at \( 1.6 \text{ m/s}^2 \). How long does it take for the train to come to a complete stop?,,14 seconds,7.5 seconds,18 seconds,25 seconds,C
6,Strength,"A composite rod consists of two segments: Segment A is 1.5 m long with a cross-sectional area of 0.0004 m² and Young's modulus of 150 GPa, and Segment B is 2.5 m long with a cross-sectional area of 0.0006 m² and Young's modulus of 200 GPa. The rod is subjected to a tensile force of 75 kN. Calculate the total elongation of the rod.",,2.1 mm,3.4375 mm,0.00789 m,12.5 mm,B
7,Materials,"An axial load is applied to a 20 centimeter long cylindrical piece of steel. Due to the axial load, the steel is stretched to 24.3 centimeters where it fractures. What is the percent elongation of the member?",,23.40%,21.50%,18.90%,16%,B
8,Fluids,A simple U-shaped manometer is attached to an air pipe and measures a pressure of 20 mmHg. The pressure in psi of the air is,,0.387 psi,20 psi,9.783 psi,1.47 psi,C
9,Surveying,"A surveyor determines an azimuth of 135° 45' 30"". Calculate the bearing.",,"N45°25' 34""W","S44° 14' 30""E","S35° 16' 13""W","N135° 45' 30""E",B
10,Envir,"What is the flow rate in cubic feet per second (cfs) of a 35-acre parcel of land that has a rainfall intensity of 1.5 in/hr, and a rational method runoff coefficient of 0.2?",,7.875 cfs,10.5 cfs,9 cfs,4.125 cfs,B
11,Struc,An interior floor system has W24X55 sections spaced 6 feet on center. The floor system supports a floor dead load of 40 PSF and a floor live load of 90 PSF. Find the governing load in lbs/ft that each beam must support. Ignore the beam’s self-weight and use ASD load combinations.,Struc_11.jpg,780 lbs/ft,824 lbs/ft,360 lbs/ft,130 lbs/ft,A
12,Geotech,"A shallow strip footing is being designed in a soil which has a density of 113.5 pcf. Assuming a sandy soil (cohesion is negligible), and given Nc=37.16, Nq=22.46, Nγ=19.12, and an allowable bearing capacity of 3,566.4 lbs with a factor of safety of 4, what is the best width of the footing that must be designed at 4 ft below the surface?",,2’ - 0”,3’ - 9”,4’ - 2”,3’ - 6”,B
13,Transp,"Find the approximate value for demand flow rate on a 3-lane freeway situated on rolling terrain. The demand volume is 1,345 veh/h. Assume the peak-hour factor is 0.74 and the proportion of single unit trucks is 0.1.",,655 pc/h/ln,712 pc/h/ln,725 pc/h/ln,749 pc/h/ln,C
14,Constr,"A hospital’s construction is budgeted around $1.5 million. At the end of the project, the actual cost of the project was found to be $1.24 million. What is most nearly the Cost Performance Index for the project?",,1.49,1.21,2.5,12.09,B
15,Math,What is the second derivative of \ f(x) = 2x^3 - 5x + \sin(x) \,,\( f''(x) = 18x^2 - 5 \),f’’(x)=0,f′′(x)=12x−sin(x),6x^2+12x−5+cos(x)−sin(x),C
16,Ethics,Why is engineering considered a profession rather than an occupation?,,It is based on a large knowledge base requiring extensive training.,It is self-regulating.,It is regulated by ethical standards.,All of the above,D
17,Econ,"A 3-year US Treasury bond has a monthly interest rate of 6.8%. If you invest $15,000 initially, what will be the bond's value at maturity?",,"$25,200.00 ","$36,912.69 ","$15,000.00 ","$48,000.00 ",B
18,Statics,"Determine the x-coordinate centroid of the area bounded by the x-axis, x=π, and the function y=sin(x).",,π/5,π/4,π/2,π/8,C
19,Dynamics,"A radar tracking system is monitoring an aircraft flying in a circular path around a control tower. The aircraft's position is described in polar coordinates as r(t) = 5000 meters (constant radius) and θ(t) = 0.02t radians, where t is time in seconds. At t = 10 seconds, what is the transverse component of the aircraft's velocity?",,50 m/s,100 m/s,150 m/s,200 m/s,B
20,Strength,"According to the shear diagram, find the maximum moment. None of the lines are parabolic.",Strength_20.jpg,-6.25 kN,20 kN,10 kN,12.5 kN,C
21,Materials,A composite material with a strain of 0.12 and an elastic modulus of 300 kPa is composed of three materials listed in the table. Determine the strength of Component 3.,Materials_21.jpg,60 kPa,100 kPa,170 kPa,220 kPa,A
